Site,,,Date,Time,Depth,Temperature,Specific conductance,pH,ORP,Chlorophyll a,Turbidity,DO (Concentration),Battery Voltage,DO (Saturation)
Name,Sensor,Log File Name,M/D/YYYY,HH:MM:SS,ft,degF,uS/cm,s.u.,mV,ug/l,NTU,mg/l,V,%
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,11:38:16,-0.3,57.8,32,6.55,320,0.86,2.4,9.24,11.5,89.5
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,11:40:46,4.7,57.8,32,6.58,322,1.31,2.3,9.24,11.6,89.4
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,11:43:16,10.2,57.8,32,6.59,325,1.46,2.2,9.21,11.5,89.1
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,11:44:46,15.3,57.7,32,6.6,327,1.56,2.2,9.22,11.5,89.1
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,11:52:16,20.5,57.7,32,6.64,334,1.49,2,9.22,11.4,89
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,11:55:16,30.3,55,32,6.63,338,1.61,2,9.21,11.5,89
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,11:57:46,40.5,54,32,6.65,340,1.55,2.3,9.2,11.5,88.9
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,12:00:16,49.6,52,32,6.62,342,1.5,2.2,9.21,11.5,89
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,12:03:46,60.1,54,32,6.6,344,1.31,2.2,9.14,11.5,88.2
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,12:06:46,75,56.1,29,6.24,350,0.49,2.1,8.1,11.1,76.7
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,12:12:46,87.4,55.6,30,6.35,361,0.47,2.3,8.95,10.9,84.3
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,12:14:16,106.3,55.4,30,6.39,360,0.44,2.2,9.06,10.8,85.1
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,12:17:16,126.5,55.1,31,6.44,361,0.4,2.3,9.24,10.8,86.5
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,12:19:46,146.9,54.7,31,6.4,363,0.39,2.2,9.17,10.8,85.5
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,12:21:46,167.1,53.9,31,6.27,365,0.35,2.3,8.52,10.8,78.5
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,12:22:16,164,53.9,31,6.26,366,0.35,2.2,8.48,10.8,78.2
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,12:25:46,179,52,30,6.2,366,0.3,2.1,8.1,10,77
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,12:28:46,179,50,30,6,370,0.3,2.1,7.5,9.8,75
Green Peter WQ float,Hydrolab DS5 44575,NWP_3ResSynoptic_20141029,10/29/2014,12:29:46,0.1,58,32,6.57,365,0.71,2.1,9.25,10.8,89.7
